postal_code,all,cloudCover,sunsetTime,sunriseTime,tempLow,tempHigh,tempMax,tempMin,visibility,month
2134,0.02642699923985511,0.027076927870154092,0.027175350007694592,0.026454388735614207,0.02719929857249858,0.026689134740027813,0.02642341152574217,0.02786471267929332,
7325,0.05209747028876619,0.052767268574723,0.05067005124984517,0.053535445805252664,0.05350062126101565,0.05252001431357117,0.05214674072935464,0.05305254379563499,0.05176238184519437,0.052130341465493245

2201,0.03135905877055116,0.03130535407965705,0.032078278325730215,0.03148061363740189,0.031970747468521965,0.03150641019602964,0.03136751635719192,0.03197988966983858,0.031364374947959836,0.0313728520256408

3481,0.22292787063099118,0.2287883298331178,0.23323954965145088,0.22567436697115967,0.2229110396477613,0.22539923629626005,0.22116404501873008,0.24947638522682516,0.2202460291783704,0.22349375084095638

7559,0.015809681902291036,0.016309665323046767,0.01622154288231545,0.015846563943813577,0.01589324644987078,0.01593605429847928,0.01581170616273964,0.016785376161981107,0.015705189904596392,0.015809235529517147

6591,0.039114718901534735,0.042902511292245316,0.04026956097503993,0.03924943912460857,0.04068313383693967,0.040153794308696,0.039381379109777216,0.04034974726532862,0.03862469053002978,0.03910357084624999

5384,0.033315274077561914,0.03451497355524479,0.03392608039951002,0.03332657477540527,0.03363601921280053,0.033636019212800544,0.033280207395278635,0.03389969852102671,0.03389969852102671,0.033313364176518076
